# Resultant (after processing) measured flexural accelerances (m/(s^2N)) for flexural wavenumber estimation at respective locations 
# frequency, at 0.25 m, at 0.325 m, at 0.4 m, at 0.475 m, at 0.55 m, at 0.9 m, at 0.975 m, at 1.05 m, at 1.125 m, at 1.2 m, at 1.575 m, at 1.645 m, at 1.65 m, at 1.685 m, at 1.725 m, at 1.765 m, at 1.8 m, at 1.805 m, at 1.875 m
0.000000e+00+0.000000e+00j,7.182312e+00+0.000000e+00j,1.436198e+01+0.000000e+00j,2.229774e+01+0.000000e+00j,7.083101e+01+0.000000e+00j,2.607443e+02+0.000000e+00j,1.537305e+02+0.000000e+00j,-1.193259e+02+0.000000e+00j,-1.925084e+02+0.000000e+00j,-2.512713e+02+0.000000e+00j,-8.355567e+01+0.000000e+00j,-4.495188e+01+0.000000e+00j,-1.203385e+02+0.000000e+00j,-7.601660e+01+0.000000e+00j,2.582106e+02+0.000000e+00j,-1.471379e+02+0.000000e+00j,-8.917371e+00+0.000000e+00j,-2.647842e+01+0.000000e+00j,-1.027824e+02+0.000000e+00j,1.099521e+02+0.000000e+00j
2.046875e+02+0.000000e+00j,-4.721433e-02-2.057747e-01j,-4.492785e-01-4.477465e-01j,-8.793955e-01-6.423650e-01j,-1.219047e+00-8.879622e-01j,-1.519441e+00-1.100683e+00j,-2.997031e-01+1.125448e-01j,1.074538e+00+1.052967e+00j,3.070408e+00+2.300550e+00j,5.064174e+00+2.914247e+00j,6.782716e+00+3.979364e+00j,-4.963512e+00-3.186527e+00j,-1.284465e+01-3.645052e+00j,-1.264416e+01-4.239244e+00j,-1.338022e+01-4.249688e+00j,-1.332803e+01-3.736171e+00j,-1.409634e+01-2.766474e+00j,-1.388650e+01-3.461730e+00j,-1.399587e+01-3.300419e+00j,-3.601723e+00-2.155866e+00j
2.054688e+02+0.000000e+00j,-4.011968e-02-8.965948e-02j,-4.349852e-01-2.103665e-01j,-8.261603e-01-3.118591e-01j,-1.205418e+00-4.245411e-01j,-1.519739e+00-5.064381e-01j,-2.884115e-01+4.572033e-02j,1.029800e+00+5.025184e-01j,2.862378e+00+1.068550e+00j,4.422382e+00+1.526790e+00j,5.875493e+00+2.321541e+00j,-4.320061e+00-1.656889e+00j,-1.059557e+01-2.245540e+00j,-1.063387e+01-2.698987e+00j,-1.157724e+01-2.860222e+00j,-1.179391e+01-2.735649e+00j,-1.226012e+01-2.055562e+00j,-1.201922e+01-2.207619e+00j,-1.192379e+01-2.257727e+00j,-3.365224e+00-9.884981e-01j
2.062500e+02+0.000000e+00j,1.478887e-02-6.018479e-02j,-3.358250e-01-1.263984e-01j,-6.751242e-01-1.765807e-01j,-9.944336e-01-2.420119e-01j,-1.259966e+00-2.981510e-01j,-3.138281e-01+6.376695e-03j,7.579368e-01+2.567646e-01j,2.284542e+00+6.325403e-01j,3.677764e+00+9.520677e-01j,5.029211e+00+1.611050e+00j,-3.529530e+00-1.024022e+00j,-8.944936e+00-1.527468e+00j,-9.063569e+00-1.896370e+00j,-1.030498e+01-2.303705e+00j,-1.054221e+01-2.075613e+00j,-1.099935e+01-1.636094e+00j,-1.045899e+01-1.674989e+00j,-1.041373e+01-1.711410e+00j,-2.845227e+00-5.238911e-01j
2.070312e+02+0.000000e+00j,4.244368e-02-3.990927e-02j,-2.445261e-01-8.469440e-02j,-5.588555e-01-1.195655e-01j,-8.143795e-01-1.771305e-01j,-1.048932e+00-1.859575e-01j,-3.309849e-01+6.234302e-03j,5.757370e-01+1.675733e-01j,1.884621e+00+4.384199e-01j,3.164640e+00+6.678405e-01j,4.466721e+00+1.207337e+00j,-2.996577e+00-7.229494e-01j,-7.856448e+00-1.114838e+00j,-7.977733e+00-1.435553e+00j,-9.381431e+00-1.729321e+00j,-9.539621e+00-1.548729e+00j,-9.780721e+00-1.126984e+00j,-9.352421e+00-1.244200e+00j,-9.292370e+00-1.157364e+00j,-2.463316e+00-3.471352e-01j
2.078125e+02+0.000000e+00j,7.825016e-02-2.804696e-02j,-1.881229e-01-5.719608e-02j,-4.520528e-01-8.824214e-02j,-6.985699e-01-1.071422e-01j,-9.055112e-01-1.255811e-01j,-3.366337e-01+5.327665e-03j,4.516827e-01+1.195212e-01j,1.575515e+00+2.985556e-01j,2.718783e+00+4.965065e-01j,3.972010e+00+9.904650e-01j,-2.570305e+00-5.311094e-01j,-6.894457e+00-8.454773e-01j,-7.074962e+00-1.199026e+00j,-8.306138e+00-1.496576e+00j,-8.693981e+00-1.303645e+00j,-8.845965e+00-1.041310e+00j,-8.417520e+00-9.759241e-01j,-8.297201e+00-9.452833e-01j,-2.209093e+00-2.385285e-01j
2.085938e+02+0.000000e+00j,1.063975e-01-2.372153e-02j,-1.535856e-01-5.070446e-02j,-3.947790e-01-6.845693e-02j,-6.283402e-01-7.919270e-02j,-8.162661e-01-1.119890e-01j,-3.583097e-01+7.706117e-03j,3.273866e-01+9.564887e-02j,1.360650e+00+2.638939e-01j,2.407246e+00+4.200068e-01j,3.559146e+00+7.155525e-01j,-2.223534e+00-4.246227e-01j,-6.217558e+00-7.383224e-01j,-6.413212e+00-8.915867e-01j,-7.729805e+00-1.101500e+00j,-8.001815e+00-1.015072e+00j,-8.223387e+00-8.177576e-01j,-7.744105e+00-7.585914e-01j,-7.702970e+00-8.437632e-01j,-2.000190e+00-2.033436e-01j
2.093750e+02+0.000000e+00j,1.153915e-01-1.503515e-02j,-1.206197e-01-3.645511e-02j,-3.473502e-01-4.963341e-02j,-5.566468e-01-5.990118e-02j,-7.165478e-01-8.809918e-02j,-3.525521e-01+9.131066e-03j,2.615017e-01+7.024916e-02j,1.185677e+00+2.053729e-01j,2.175059e+00+3.404201e-01j,3.239317e+00+5.898887e-01j,-1.987675e+00-3.240070e-01j,-5.678063e+00-5.501700e-01j,-5.822083e+00-7.974543e-01j,-7.097829e+00-8.387672e-01j,-7.386823e+00-9.352140e-01j,-7.566339e+00-6.677774e-01j,-7.118289e+00-6.681023e-01j,-7.075541e+00-5.859980e-01j,-1.859006e+00-1.518202e-01j
2.101562e+02+0.000000e+00j,1.286910e-01-2.013600e-02j,-8.947232e-02-3.752251e-02j,-2.870921e-01-4.492011e-02j,-5.040956e-01-5.468486e-02j,-6.618532e-01-6.746700e-02j,-3.673333e-01-1.305518e-02j,1.963729e-01+5.819496e-02j,1.051214e+00+1.843258e-01j,1.960034e+00+3.016350e-01j,2.979047e+00+4.721054e-01j,-1.732336e+00-2.719432e-01j,-5.185835e+00-5.165050e-01j,-5.384287e+00-6.853676e-01j,-6.620535e+00-6.694958e-01j,-6.948959e+00-7.668500e-01j,-7.136340e+00-5.324232e-01j,-6.644899e+00-5.940097e-01j,-6.635483e+00-5.774733e-01j,-1.731402e+00-1.326457e-01j
2.109375e+02+0.000000e+00j,1.486410e-01-1.004498e-02j,-6.715537e-02-2.649197e-02j,-2.710761e-01-3.744082e-02j,-4.596473e-01-5.344594e-02j,-6.219653e-01-6.989797e-02j,-3.648239e-01-2.965397e-03j,1.425734e-01+5.298471e-02j,9.162538e-01+1.344628e-01j,1.793725e+00+2.423070e-01j,2.741347e+00+4.041975e-01j,-1.547581e+00-2.266846e-01j,-4.796386e+00-4.007097e-01j,-4.955051e+00-5.828834e-01j,-6.074414e+00-5.861452e-01j,-6.342113e+00-6.903497e-01j,-6.586534e+00-5.135602e-01j,-6.240806e+00-4.478854e-01j,-6.135788e+00-4.284185e-01j,-1.631184e+00-1.167119e-01j
2.117188e+02+0.000000e+00j,1.511324e-01-1.413096e-02j,-4.243817e-02-1.480572e-02j,-2.426482e-01-3.170692e-02j,-4.124587e-01-4.175156e-02j,-5.789501e-01-4.932492e-02j,-3.741096e-01-7.526167e-03j,9.402067e-02+4.189239e-02j,8.449844e-01+1.306164e-01j,1.622213e+00+2.309764e-01j,2.561904e+00+3.292592e-01j,-1.384996e+00-1.855417e-01j,-4.405131e+00-3.682085e-01j,-4.673011e+00-4.866664e-01j,-5.722614e+00-5.340091e-01j,-6.131436e+00-5.327710e-01j,-6.315311e+00-4.668092e-01j,-5.940808e+00-4.278787e-01j,-5.809086e+00-4.413403e-01j,-1.526222e+00-8.132391e-02j
2.125000e+02+0.000000e+00j,1.548219e-01-2.025427e-03j,-3.625574e-02-1.567401e-02j,-2.123952e-01-2.965237e-02j,-3.791941e-01-3.671038e-02j,-5.412294e-01-5.143512e-02j,-3.763226e-01+5.102518e-03j,5.759552e-02+4.349704e-02j,7.432200e-01+1.059227e-01j,1.516169e+00+1.890091e-01j,2.354491e+00+2.859440e-01j,-1.240798e+00-1.673857e-01j,-4.117218e+00-3.266267e-01j,-4.346491e+00-4.257253e-01j,-5.369038e+00-4.356096e-01j,-5.795874e+00-5.569125e-01j,-5.932607e+00-3.937015e-01j,-5.554428e+00-3.953654e-01j,-5.486382e+00-3.575214e-01j,-1.451509e+00-6.263030e-02j
2.132812e+02+0.000000e+00j,1.555840e-01-9.534320e-04j,-1.397674e-02-9.925139e-03j,-1.913200e-01-2.666670e-02j,-3.577180e-01-2.420633e-02j,-5.138945e-01-3.520011e-02j,-3.959402e-01-3.771388e-03j,2.821848e-02+2.339298e-02j,6.728951e-01+7.573091e-02j,1.410173e+00+1.737281e-01j,2.230019e+00+2.395183e-01j,-1.133657e+00-1.435517e-01j,-3.844405e+00-2.748045e-01j,-4.105538e+00-3.959466e-01j,-5.013979e+00-4.283949e-01j,-5.421680e+00-4.288669e-01j,-5.640807e+00-4.182037e-01j,-5.350289e+00-2.955404e-01j,-5.207483e+00-3.084785e-01j,-1.409415e+00-8.440892e-02j
2.140625e+02+0.000000e+00j,1.712112e-01-1.046206e-02j,-4.494336e-03-1.579791e-02j,-1.618573e-01-2.638742e-02j,-3.167956e-01-2.383449e-02j,-4.789966e-01-3.265838e-02j,-3.795650e-01+4.357250e-04j,-1.591351e-02+3.038344e-02j,6.003417e-01+8.758352e-02j,1.311718e+00+1.564847e-01j,2.091334e+00+2.147504e-01j,-1.014854e+00-1.440820e-01j,-3.630088e+00-2.595886e-01j,-3.873303e+00-3.453907e-01j,-4.796556e+00-3.343612e-01j,-5.258895e+00-3.949177e-01j,-5.409541e+00-3.334794e-01j,-5.080833e+00-3.073526e-01j,-4.980514e+00-3.079088e-01j,-1.329388e+00-7.306910e-02j
2.148438e+02+0.000000e+00j,1.783577e-01-1.084444e-03j,2.217014e-02-1.260471e-02j,-1.512150e-01-2.538970e-02j,-2.939209e-01-2.640269e-02j,-4.380686e-01-3.294548e-02j,-3.903230e-01-2.983121e-03j,-4.247270e-02+1.406394e-02j,5.384971e-01+6.386583e-02j,1.238409e+00+1.305055e-01j,1.963241e+00+1.769770e-01j,-9.434603e-01-1.020242e-01j,-3.437073e+00-1.824936e-01j,-3.636252e+00-3.093503e-01j,-4.505576e+00-2.817396e-01j,-5.000373e+00-3.939540e-01j,-5.127973e+00-3.077522e-01j,-4.861908e+00-2.607912e-01j,-4.749794e+00-2.363915e-01j,-1.299695e+00-5.362331e-02j
2.156250e+02+0.000000e+00j,1.827036e-01-1.981185e-05j,2.397465e-02-1.482153e-02j,-1.372436e-01-1.895207e-02j,-2.874719e-01-2.341398e-02j,-4.263960e-01-1.341356e-02j,-3.924260e-01-6.881755e-04j,-5.603719e-02+2.038018e-02j,4.928666e-01+5.095400e-02j,1.154593e+00+1.235060e-01j,1.868357e+00+1.690323e-01j,-8.635854e-01-1.201379e-01j,-3.282374e+00-1.967981e-01j,-3.455337e+00-2.348286e-01j,-4.281479e+00-2.442282e-01j,-4.755700e+00-3.067336e-01j,-4.919211e+00-2.407395e-01j,-4.656861e+00-2.060056e-01j,-4.587678e+00-1.879218e-01j,-1.256660e+00-6.497606e-02j
2.164062e+02+0.000000e+00j,1.764249e-01-1.504750e-03j,2.404331e-02-1.071262e-02j,-1.319482e-01-9.440760e-03j,-2.723839e-01-2.735195e-02j,-4.086840e-01-1.142373e-02j,-3.854235e-01-9.392354e-04j,-8.230871e-02+2.700101e-02j,4.495910e-01+5.998558e-02j,1.081364e+00+1.125172e-01j,1.757451e+00+1.380764e-01j,-7.719056e-01-1.023842e-01j,-3.088045e+00-1.956053e-01j,-3.288426e+00-2.279676e-01j,-4.116761e+00-2.392771e-01j,-4.529322e+00-3.058260e-01j,-4.747308e+00-1.967533e-01j,-4.468379e+00-1.951253e-01j,-4.425518e+00-1.880062e-01j,-1.227826e+00-5.774598e-02j
2.171875e+02+0.000000e+00j,1.892045e-01-1.032456e-02j,4.106072e-02-2.047641e-03j,-1.080238e-01-2.346842e-02j,-2.481439e-01-1.095759e-02j,-3.701566e-01-1.358709e-02j,-3.909690e-01-4.554000e-03j,-1.029991e-01+2.078794e-02j,3.939841e-01+3.687461e-02j,1.010157e+00+9.506950e-02j,1.665186e+00+1.184478e-01j,-7.089950e-01-9.405016e-02j,-2.948814e+00-1.626533e-01j,-3.134246e+00-1.892032e-01j,-3.910190e+00-1.886748e-01j,-4.418154e+00-2.826114e-01j,-4.523977e+00-1.991130e-01j,-4.317027e+00-1.541470e-01j,-4.207643e+00-1.337143e-01j,-1.192893e+00-4.149826e-02j
2.179688e+02+0.000000e+00j,1.968708e-01-3.367819e-03j,4.916292e-02+1.121128e-02j,-9.978851e-02-1.425958e-03j,-2.298797e-01-2.081981e-02j,-3.698219e-01-1.903800e-02j,-3.975901e-01-4.241679e-03j,-1.246222e-01+2.930506e-02j,3.441170e-01+2.519217e-02j,9.584126e-01+7.462961e-02j,1.580882e+00+9.201199e-02j,-6.599391e-01-6.919342e-02j,-2.819519e+00-1.549195e-01j,-2.966309e+00-1.955394e-01j,-3.812041e+00-1.686082e-01j,-4.236121e+00-2.503047e-01j,-4.432125e+00-1.626590e-01j,-4.154240e+00-1.708005e-01j,-4.092199e+00-1.530851e-01j,-1.132302e+00-5.526955e-02j
2.187500e+02+0.000000e+00j,1.893268e-01-6.101627e-03j,5.221380e-02-1.067582e-02j,-8.819002e-02-7.584403e-03j,-2.240087e-01-1.666363e-02j,-3.372856e-01-1.618109e-02j,-3.947304e-01+1.267281e-04j,-1.401483e-01+1.947742e-02j,3.192361e-01+2.352961e-02j,9.074387e-01+7.127493e-02j,1.515103e+00+9.008030e-02j,-5.988353e-01-6.475541e-02j,-2.693783e+00-1.405778e-01j,-2.833360e+00-1.764537e-01j,-3.612391e+00-1.556260e-01j,-4.104166e+00-2.422552e-01j,-4.234894e+00-2.031582e-01j,-4.018762e+00-1.572494e-01j,-3.949583e+00-1.351499e-01j,-1.130146e+00-3.678005e-02j
2.195312e+02+0.000000e+00j,1.989436e-01-5.011106e-03j,6.305013e-02-5.592890e-04j,-7.862650e-02-5.586012e-03j,-1.960487e-01-5.593713e-03j,-3.253170e-01-1.339584e-02j,-3.904201e-01-3.701975e-03j,-1.608438e-01+5.177696e-03j,2.790768e-01+2.627878e-02j,8.420583e-01+5.900691e-02j,1.433847e+00+8.840644e-02j,-5.585035e-01-5.144282e-02j,-2.584646e+00-1.428407e-01j,-2.720262e+00-1.599292e-01j,-3.506831e+00-1.586849e-01j,-3.986058e+00-2.121160e-01j,-4.128815e+00-1.495453e-01j,-3.919009e+00-1.659694e-01j,-3.859215e+00-1.226911e-01j,-1.115827e+00-4.038600e-02j
2.203125e+02+0.000000e+00j,2.011434e-01+2.463655e-04j,7.330355e-02-2.328701e-02j,-6.263168e-02-1.304462e-02j,-1.964855e-01-1.414462e-02j,-3.173006e-01-7.557640e-03j,-4.020978e-01-3.160576e-03j,-1.621391e-01+1.159982e-02j,2.513218e-01+3.929457e-02j,7.864011e-01+5.507504e-02j,1.379752e+00+9.161042e-02j,-4.905884e-01-6.100717e-02j,-2.467174e+00-1.372915e-01j,-2.628100e+00-1.451330e-01j,-3.382416e+00-1.721407e-01j,-3.861350e+00-1.886721e-01j,-4.068167e+00-1.712212e-01j,-3.820693e+00-1.499543e-01j,-3.733069e+00-1.469390e-01j,-1.101922e+00-3.643917e-02j
2.210938e+02+0.000000e+00j,1.936075e-01+9.897828e-03j,7.450714e-02-1.499146e-02j,-5.263102e-02+2.870140e-03j,-1.903836e-01-1.463894e-02j,-3.075959e-01-1.063529e-02j,-4.129949e-01+1.190180e-02j,-1.937545e-01+1.424909e-02j,2.224537e-01+3.674964e-02j,7.476317e-01+4.790966e-02j,1.310363e+00+8.386592e-02j,-4.564515e-01-5.822721e-02j,-2.376131e+00-1.351490e-01j,-2.524783e+00-1.290619e-01j,-3.273862e+00-1.441593e-01j,-3.754582e+00-2.069002e-01j,-3.924251e+00-1.570551e-01j,-3.700036e+00-1.365038e-01j,-3.667023e+00-1.276684e-01j,-1.076348e+00-3.143554e-02j
2.218750e+02+0.000000e+00j,1.969504e-01-8.113849e-03j,7.672340e-02-3.117188e-03j,-4.812400e-02-1.317086e-02j,-1.711631e-01-7.968689e-03j,-2.875869e-01-8.877597e-03j,-4.093902e-01-2.171128e-03j,-1.968332e-01+1.036612e-02j,1.928779e-01+2.708159e-02j,7.038849e-01+4.550105e-02j,1.263287e+00+8.242367e-02j,-3.913542e-01-4.411914e-02j,-2.281235e+00-1.161893e-01j,-2.434925e+00-1.184361e-01j,-3.161230e+00-1.549783e-01j,-3.624330e+00-1.666856e-01j,-3.844693e+00-1.839340e-01j,-3.626074e+00-1.128765e-01j,-3.559317e+00-1.337252e-01j,-1.057485e+00-2.395178e-02j
2.226562e+02+0.000000e+00j,2.033409e-01-1.693915e-04j,9.346282e-02-8.593005e-04j,-3.602326e-02-1.729302e-02j,-1.637766e-01-1.393791e-02j,-2.771143e-01-1.510968e-03j,-4.147994e-01-4.114668e-03j,-1.913717e-01+1.212103e-02j,1.730148e-01+2.712914e-02j,6.564017e-01+4.692633e-02j,1.203686e+00+6.447967e-02j,-3.527258e-01-4.664533e-02j,-2.208720e+00-1.203458e-01j,-2.335914e+00-9.876391e-02j,-3.061935e+00-1.267334e-01j,-3.516789e+00-1.675225e-01j,-3.725927e+00-1.661675e-01j,-3.503007e+00-1.162480e-01j,-3.480517e+00-1.126817e-01j,-1.038895e+00-3.009114e-02j
2.234375e+02+0.000000e+00j,2.153943e-01+6.406300e-05j,8.313934e-02+4.992870e-03j,-2.587967e-02-1.280920e-02j,-1.500730e-01-1.697678e-02j,-2.555089e-01-7.657315e-03j,-4.112463e-01+3.427874e-03j,-2.163975e-01+8.178890e-03j,1.470452e-01+2.613340e-02j,6.246172e-01+3.484023e-02j,1.144023e+00+6.264955e-02j,-3.558972e-01-3.785977e-02j,-2.111154e+00-9.598495e-02j,-2.252578e+00-1.195943e-01j,-2.947751e+00-1.308970e-01j,-3.434219e+00-1.504283e-01j,-3.643312e+00-1.218417e-01j,-3.435180e+00-1.051555e-01j,-3.381105e+00-8.080656e-02j,-1.022547e+00-3.435752e-02j
2.242188e+02+0.000000e+00j,2.164394e-01-5.282183e-03j,1.034362e-01-5.303337e-03j,-2.627384e-02-4.477241e-03j,-1.492255e-01-1.903209e-02j,-2.525828e-01+2.934583e-03j,-4.112151e-01-1.034620e-02j,-2.281339e-01+5.175905e-03j,1.296274e-01+1.318826e-02j,6.012374e-01+3.861570e-02j,1.109104e+00+5.502182e-02j,-2.979420e-01-5.339131e-02j,-2.072389e+00-9.506136e-02j,-2.191432e+00-8.500680e-02j,-2.912367e+00-9.459760e-02j,-3.349912e+00-1.443500e-01j,-3.571289e+00-1.174398e-01j,-3.374906e+00-9.885684e-02j,-3.358109e+00-9.729310e-02j,-1.016410e+00-3.514740e-02j
2.250000e+02+0.000000e+00j,2.166901e-01-1.385299e-03j,9.159127e-02-3.983051e-03j,-9.442348e-03-2.420373e-02j,-1.274390e-01-5.868195e-03j,-2.479453e-01-9.249122e-03j,-4.076924e-01-4.170522e-03j,-2.343002e-01-5.810444e-03j,1.006164e-01+2.313474e-02j,5.668951e-01+3.169779e-02j,1.067992e+00+5.620259e-02j,-2.682361e-01-2.366504e-02j,-1.990178e+00-7.571527e-02j,-2.109706e+00-9.522327e-02j,-2.775593e+00-1.156680e-01j,-3.293225e+00-1.583624e-01j,-3.462040e+00-1.422361e-01j,-3.311358e+00-1.017534e-01j,-3.248543e+00-1.097488e-01j,-1.017799e+00-2.587105e-02j
2.257812e+02+0.000000e+00j,2.150698e-01+1.509342e-03j,1.049656e-01-9.992291e-03j,-1.482540e-02-1.620428e-02j,-1.350993e-01-3.118620e-03j,-2.459293e-01-7.540300e-04j,-4.232088e-01+1.599117e-03j,-2.506406e-01+8.162929e-03j,8.460588e-02+1.397492e-02j,5.251635e-01+3.417697e-02j,1.037630e+00+5.021378e-02j,-2.474721e-01-3.626011e-02j,-1.937486e+00-7.627529e-02j,-2.049365e+00-8.384772e-02j,-2.717874e+00-8.846173e-02j,-3.181159e+00-1.334925e-01j,-3.387930e+00-1.331550e-01j,-3.238881e+00-8.376412e-02j,-3.186605e+00-6.404561e-02j,-1.001480e+00-2.608763e-02j
2.265625e+02+0.000000e+00j,2.146836e-01-8.539435e-03j,1.109395e-01-5.163744e-03j,4.763400e-04-6.541035e-03j,-1.242153e-01-8.113847e-03j,-2.344482e-01-1.459499e-02j,-4.092818e-01-2.853769e-03j,-2.590330e-01+7.224513e-03j,7.368635e-02+1.987174e-02j,4.974707e-01+3.702928e-02j,9.942351e-01+6.080055e-02j,-2.114226e-01-3.863502e-02j,-1.856765e+00-8.119067e-02j,-1.981586e+00-8.663242e-02j,-2.673861e+00-1.104709e-01j,-3.142737e+00-9.327243e-02j,-3.356311e+00-1.413274e-01j,-3.209116e+00-1.117730e-01j,-3.123501e+00-1.089229e-01j,-9.830115e-01-1.586233e-02j
2.273438e+02+0.000000e+00j,2.131900e-01-7.763773e-03j,1.155211e-01-8.533478e-03j,-1.021113e-02-1.005908e-02j,-1.057784e-01+1.209033e-03j,-2.381049e-01-8.746956e-03j,-3.991335e-01-2.091595e-03j,-2.683463e-01+1.201652e-02j,4.727022e-02+1.602186e-02j,4.687620e-01+3.993682e-02j,9.575648e-01+4.944330e-02j,-1.777197e-01-3.422919e-02j,-1.804404e+00-7.892735e-02j,-1.911923e+00-7.075179e-02j,-2.609272e+00-9.957753e-02j,-3.052513e+00-8.412157e-02j,-3.298494e+00-1.150641e-01j,-3.132642e+00-6.994769e-02j,-3.092982e+00-1.119311e-01j,-9.819756e-01-2.148973e-02j
2.281250e+02+0.000000e+00j,2.198905e-01+8.442121e-03j,1.061977e-01-5.899161e-03j,-4.933063e-04+1.395777e-03j,-1.036939e-01-1.361633e-02j,-2.079825e-01-1.086098e-02j,-4.281702e-01-8.776173e-03j,-2.707240e-01+1.047880e-02j,3.297003e-02+2.289349e-02j,4.398365e-01+1.990141e-02j,9.413697e-01+4.399637e-02j,-1.606979e-01-2.286766e-02j,-1.750961e+00-6.108113e-02j,-1.875747e+00-8.133524e-02j,-2.523579e+00-8.039236e-02j,-3.003095e+00-7.880225e-02j,-3.226664e+00-1.309710e-01j,-3.115979e+00-7.726399e-02j,-3.008039e+00-8.393131e-02j,-9.698586e-01-1.518805e-02j
2.289062e+02+0.000000e+00j,2.217512e-01-1.747770e-03j,1.126378e-01-1.229884e-02j,9.469472e-03+3.629495e-03j,-1.059444e-01-1.513826e-02j,-2.158533e-01-5.527086e-03j,-4.317009e-01-5.713512e-04j,-2.802060e-01+8.506550e-03j,1.630673e-02+1.419783e-02j,4.206699e-01+2.243718e-02j,8.861674e-01+4.564987e-02j,-1.316560e-01-2.021166e-02j,-1.710501e+00-7.287833e-02j,-1.821368e+00-8.010137e-02j,-2.481288e+00-8.834913e-02j,-2.955021e+00-9.774676e-02j,-3.201395e+00-8.943419e-02j,-3.046356e+00-9.225769e-02j,-2.994889e+00-9.110107e-02j,-9.634050e-01-1.480669e-02j
2.296875e+02+0.000000e+00j,2.123592e-01+4.943877e-03j,1.114550e-01+5.775148e-03j,6.470333e-03-9.752405e-04j,-9.855377e-02-5.773773e-03j,-2.045877e-01-6.965635e-04j,-4.296689e-01+8.074846e-03j,-2.841360e-01+2.161808e-02j,-1.870850e-04+2.023715e-02j,3.949335e-01+1.686651e-02j,8.477105e-01+4.505470e-02j,-9.739813e-02-3.128584e-02j,-1.632340e+00-6.123448e-02j,-1.784614e+00-9.113619e-02j,-2.421598e+00-6.967666e-02j,-2.863739e+00-9.718327e-02j,-3.133838e+00-1.003346e-01j,-2.990505e+00-6.164283e-02j,-2.948901e+00-7.076053e-02j,-9.638706e-01-1.145247e-02j
2.304688e+02+0.000000e+00j,2.245331e-01-1.010419e-02j,1.154872e-01-1.665532e-02j,1.039612e-02-5.435960e-03j,-8.265034e-02-1.860093e-02j,-2.138693e-01-1.099348e-02j,-4.206081e-01-5.045808e-03j,-3.029246e-01+2.245598e-03j,-1.829005e-02-5.668533e-03j,3.739911e-01+1.420960e-02j,8.327206e-01+4.202184e-02j,-8.373634e-02-2.345350e-02j,-1.618435e+00-7.922787e-02j,-1.721460e+00-6.568787e-02j,-2.362092e+00-5.914017e-02j,-2.831605e+00-1.158929e-01j,-3.058793e+00-1.150067e-01j,-2.939243e+00-6.495550e-02j,-2.915386e+00-8.644616e-02j,-9.405984e-01-5.749179e-03j
2.312500e+02+0.000000e+00j,2.150443e-01-5.278797e-03j,1.261062e-01-1.110079e-02j,2.079101e-02+4.092231e-03j,-8.474189e-02-3.743865e-03j,-1.870460e-01-2.012491e-03j,-4.449700e-01+6.932502e-03j,-3.079255e-01+1.644158e-03j,-3.424536e-02+1.108929e-02j,3.458575e-01+2.068616e-02j,8.064222e-01+3.922000e-02j,-6.064244e-02-1.619979e-02j,-1.567204e+00-6.414433e-02j,-1.683844e+00-7.167774e-02j,-2.327694e+00-7.019080e-02j,-2.788267e+00-6.179619e-02j,-3.032484e+00-1.094890e-01j,-2.926566e+00-8.651446e-02j,-2.861049e+00-8.753257e-02j,-9.396176e-01-1.946588e-02j
2.320312e+02+0.000000e+00j,2.221771e-01-7.327880e-03j,1.270274e-01-2.981384e-03j,2.641139e-02+1.554042e-03j,-8.023642e-02+1.679918e-03j,-1.903425e-01-7.164631e-03j,-4.294616e-01+8.686675e-03j,-3.171083e-01+4.400938e-03j,-5.384870e-02+2.050244e-02j,3.322930e-01+1.458712e-02j,7.812398e-01+3.094141e-02j,-4.335102e-02-2.325409e-02j,-1.536357e+00-3.999827e-02j,-1.640315e+00-4.818434e-02j,-2.253860e+00-5.188587e-02j,-2.724651e+00-5.786605e-02j,-2.964843e+00-7.554489e-02j,-2.863636e+00-4.644047e-02j,-2.819861e+00-2.919965e-02j,-9.462392e-01-1.814498e-02j
2.328125e+02+0.000000e+00j,2.290734e-01-6.378562e-03j,1.349730e-01-9.583330e-03j,3.481355e-02-7.701082e-03j,-6.576105e-02-9.534430e-03j,-1.750711e-01-5.729369e-03j,-4.361546e-01+9.386920e-03j,-3.094229e-01-9.029375e-04j,-6.179975e-02+1.705407e-02j,3.091615e-01+2.812842e-02j,7.514178e-01+3.328735e-02j,-1.203191e-02-2.225161e-02j,-1.482760e+00-5.997835e-02j,-1.584026e+00-5.649350e-02j,-2.227806e+00-5.500116e-02j,-2.689592e+00-7.384090e-02j,-2.961518e+00-6.387741e-02j,-2.807702e+00-4.771453e-02j,-2.809190e+00-5.575650e-02j,-9.373247e-01-1.666586e-02j
